ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/MediaImage/26135853760649,Screenshot_2024-06-27_at_4.24.17_PM.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Screenshot_2024-06-27_at_4.24.17_PM.png?v=1727451702,,2024-09-27 11:41:40 -0400,IMAGE,image/png,326,98,,Ready,
gid://shopify/MediaImage/26135853793417,94d1ddf707fa050e76b3c63d909ec6ca.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/94d1ddf707fa050e76b3c63d909ec6ca.png?v=1727451703,,2024-09-27 11:41:42 -0400,IMAGE,image/png,751,131,,Ready,
gid://shopify/MediaImage/26135853826185,SS24_P_W_10020808_Sloane_TanLeatherSuede_0480_1.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/SS24_P_W_10020808_Sloane_TanLeatherSuede_0480_1.png?v=1727451704,,2024-09-27 11:41:43 -0400,IMAGE,image/png,670,251,,Ready,
gid://shopify/MediaImage/26135853858953,superfeet-rx-logo.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/superfeet-rx-logo.png?v=1727451706,,2024-09-27 11:41:44 -0400,IMAGE,image/png,751,118,,Ready,
gid://shopify/MediaImage/26135853957257,superfeet-rx-logo-footer.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/superfeet-rx-logo-footer.png?v=1727451707,,2024-09-27 11:41:46 -0400,IMAGE,image/png,300,64,,Ready,
gid://shopify/MediaImage/26135854022793,section-bg-image.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/section-bg-image.png?v=1727451710,,2024-09-27 11:41:48 -0400,IMAGE,image/png,2000,1731,,Ready,
gid://shopify/MediaImage/26135854055561,154558c05b84b14b3aadd658c75647fb.png,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/154558c05b84b14b3aadd658c75647fb.png?v=1727451711,,2024-09-27 11:41:50 -0400,IMAGE,image/png,262,124,,Ready,
gid://shopify/MediaImage/26135854121097,Temp-to-remove-ShopByActivity-1.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Temp-to-remove-ShopByActivity-1.jpg?v=1727451712,,2024-09-27 11:41:51 -0400,IMAGE,image/jpeg,315,393,,Ready,
gid://shopify/MediaImage/25955887349897,wide_green_online_merch_assets-03_graphic.webp,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/wide_green_online_merch_assets-03_graphic.webp?v=1723766668,,2024-08-15 20:04:25 -0400,IMAGE,image/webp,700,500,,Ready,
gid://shopify/MediaImage/26135854153865,Temp-to-remove-ShopByActivity-2.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Temp-to-remove-ShopByActivity-2.jpg?v=1727451714,,2024-09-27 11:41:52 -0400,IMAGE,image/jpeg,315,393,,Ready,
gid://shopify/MediaImage/26135854317705,Temp-to-remove-ShopByActivity-4.jpg,MERGE,https://cdn.shopify.com/s/files/1/0645/8412/2505/files/Temp-to-remove-ShopByActivity-4.jpg?v=1727451716,,2024-09-27 11:41:55 -0400,IMAGE,image/jpeg,315,393,,Ready,
