"Page path","Percent of page loads","Page loads","LCP P75","LCP distribution"
"/blogs/hiking-outdoor/9-trails-that-prove-the-midwest-is-a-hikers-paradise",0,3,0,"[0,0,0,0]"
"/blogs/company-news/superfeet-is-now-the-official-insole-partner-of-the-kitchener-rangers",0,1,0,"[0,0,0,0]"
"/en-ca/products/run-support-low-arch",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9ibG9nL3dvcmstdXAtYS1zd2VhdC13aXRoLXRoaXMtc2hhZG93Ym94aW5nLWhvbWUtd29ya291dA%2C%2C/",0,1,1396,"[1,1,0,0]"
"/blogs/foot-health-podiatry/it-band-syndrome-explained",0,6,1339,"[2,2,0,0]"
"/blogs/company-news/2024-superfeet-impact-report",0,5,13523,"[2,1,0,1]"
"/collections/discount-eligable",0,30,1512,"[21,19,2,0]"
"/en-gb/news/sick-day-survival",0,1,2756,"[1,0,1,0]"
"/ee/images/uploads/b2b/13SF-ProductBroch-FINAL_V2_lowrez.pdf",0,1,6552,"[1,0,0,1]"
"/rx/blogs/foot-health-podiatry",0,2,7932,"[2,0,0,2]"
"/blogs/national-parks/backpacking-in-shenandoah-national-park-an-insider-s-guide",0,6,1193,"[2,2,0,0]"
"/blogs/running/running-for-boxing-a-boxers-running-routine-explained",0,27,1999,"[16,13,2,1]"
"/dealers_usa/dealer/dashboard",0,1,1872,"[1,1,0,0]"
"/pages/phase-2-hidden-test-page",0,1,892,"[1,1,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3BsYW50YXItZmFzY2lpdGlzLWV4cGxhaW5lZA%2C%2C/",0,1,837,"[1,1,0,0]"
"/products/raquet-performance",0,1,536,"[1,1,0,0]"
"/blogs/hiking-outdoor/5-gorgeous-waterfall-hikes-around-portland",0,1,0,"[0,0,0,0]"
"/blogs/company-news/news-and-reviews-what-people-are-saying-about-superfeet",0,6,973,"[6,6,0,0]"
"/en-eu/news/6-running-recovery-tips-to-keep-you-healthy",0,1,4308,"[1,0,0,1]"
"/blogs/company-news/meet-the-2024-superfeet-local-grant-recipients",0,1,0,"[0,0,0,0]"
"/blogs/company-news/the-best-day-hikes-around-san-francisco-7-local-favorites",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9iZXJyeQ%2C%2C/",0,1,4125,"[1,0,0,1]"
"/blogs/foot-health-podiatry/bunions-explained",0,10,739,"[8,8,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL29yaWdpbnMtb2Ytb3J0aG90aWMtaW5zb2xlcw%2C%2C/",0,1,11765,"[1,0,0,1]"
"/products/all-purpose-support-carbon",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/orange",0,1,1252,"[1,1,0,0]"
"/en-gb/blog/trail-running-in-salt-lake-when-spring-comes-early",0,1,4248,"[1,0,0,1]"
"/blogs/foot-health-podiatry/origins-of-orthotic-insoles",0,8,2534,"[6,4,1,1]"
"/blogs/health-wellness/structured-heel-cup-a-foot-comfort-gamechanger",0,20,1446,"[11,10,0,1]"
"/blogs/company-news/7-beautiful-backpacking-getaways-near-chattanooga",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/green",0,4,1004,"[1,1,0,0]"
"/blogs/company-news/are-soft-or-firm-insoles-better-for-me",0,14,925,"[8,8,0,0]"
"/blogs/national-parks/trail-running-in-yosemite-national-park-an-insider-s-guide",0,2,2192,"[1,1,0,0]"
"/blogs/company-news/a-slice-of-heaven-for-central-florida-runners",0,4,851,"[2,2,0,0]"
"/products/run-support-high-arch",0,12,3556,"[3,1,1,1]"
"/blogs/national-parks/trail-running-in-rocky-mountain-national-park-an-insider-s-guide",0,1,1732,"[1,1,0,0]"
"/pages/become-an-ambassador",0,4,7460,"[3,1,1,1]"
"/blogs/national-parks/trail-running-in-shenandoah-national-park-an-insider-s-guide",0,2,0,"[0,0,0,0]"
"/blogs/running/foot-stretches-and-exercises-for-your-running-routine",0,1,10248,"[1,0,0,1]"
"/blogs/foot-health-podiatry/tailors-bunion-relief-and-prevention-tips-with-superfeet-insoles",0,20,1188,"[11,11,0,0]"
"/checkwsjouts/cn/hWN3nkkZhhExOEI2V8odtgQL/en-us/thank-you",0,1,512,"[1,1,0,0]"
"/blogs/foot-health-podiatry/heel-spurs-explained",0,5,1864,"[5,5,0,0]"
"/en/products/run-support-low-arch",0,2,919,"[2,2,0,0]"
"/en-us/catalogsearch/result/",0,1,0,"[0,0,0,0]"
"/blogs/company-news/welcome-to-the-future-of-superfeet",0,10,1200,"[8,7,1,0]"
"/blogs/foot-health-podiatry/peroneal-tendonitis-explained",0,6,1852,"[1,1,0,0]"
"/en-ca/blog/superfeet-celebrates-pride-with-community-partners",0,1,8905,"[1,0,0,1]"
"/pages/healthcare-professionals/",0,8,3558,"[3,1,1,1]"
"/en-eu/news/how-to-avoid-warm-weather-flip-flop-failures",0,1,10756,"[1,0,0,1]"
