"Page path","Percent of page loads","Page loads","INP P75","INP distribution"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3RoZS0xMC1iZXN0LWhpa2VzLWZvci13aW50ZXItc3Rvcm0td2F0Y2hpbmc%2C/",0,1,0,"[0,0,0,0]"
"/policies/shipping-policy",0,14,104,"[2,2,0,0]"
"/blogs/hiking-outdoor/exploring-yellowstone-national-park-in-winter",0,1,48,"[1,1,0,0]"
"/blogs/company-news/introducing-new-superfeet-product-names-and-packaging",0,24,132,"[7,6,1,0]"
"/blogs/foot-health-podiatry/strengthen-chronic-ankle-instability-with-superfeet-insoles",0,5,0,"[0,0,0,0]"
"/en-eu/insoles-and-sandals",0,1,0,"[0,0,0,0]"
"/pages/international-distributors",0,9,31332,"[3,2,0,1]"
"/blogs/foot-health-podiatry/tarsal-tunnel-syndrome-find-relief-with-superfeet-insoles",0,6,0,"[0,0,0,0]"
"/blogs/company-news/celebrating-international-womens-day",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/work-on-your-feet-discover-the-best-insoles-for-long-shifts",0,2,40,"[1,1,0,0]"
"/blogs/company-news/superfeet-celebrates-new-direction",0,1,8,"[1,1,0,0]"
"/blogs/hiking-outdoor/heres-how-i-prepared-for-the-r2r2r-before-and-after-experience",0,5,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9xci1jYXN1YWw%2C/",0,1,0,"[0,0,0,0]"
"/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,14,0,"[0,0,0,0]"
"/rx/national-parks/national-parks/shenandoah",0,1,0,"[0,0,0,0]"
"/blogs/company-news/the-importance-of-having-a-defined-goal-for-your-running",0,1,0,"[0,0,0,0]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9jdXN0b20tYmxhY2stcGRwLXRlc3Q%2C/",0,1,0,"[0,0,0,0]"
"/rx/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,1,0,"[0,0,0,0]"
